Project Name,Street Name,Property Type,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Type of Area,Area (SQM),Unit Price ($ PSM),Tenure,Postal District,District Name,Floor Level
SUNSHINE PLAZA,BENCOOLEN STREET,Office,"850,000",484.38,"1,755",Oct-24,Strata,45,"18,889",99 yrs lease commencing from 1997,7," Middle Road, Golden Mile",01 to 05
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"2,318,000","1,065.64","2,175",Oct-24,Strata,99,"23,414",99 yrs lease commencing from 2011,14," Geylang, Eunos",01 to 05
WOODS SQUARE,WOODLANDS SQUARE,Office,"1,230,000",559.73,"2,197",Oct-24,Strata,52,"23,654",99 yrs lease commencing from 2014,25," Kranji, Woodgrove",06 to 10
SUNSHINE PLAZA,BENCOOLEN STREET,Office,"1,120,000",635.08,"1,764",Oct-24,Strata,59,"18,983",99 yrs lease commencing from 1997,7," Middle Road, Golden Mile",06 to 10
INTERNATIONAL PLAZA,ANSON ROAD,Office,"1,763,580",968.76,"1,820",Oct-24,Strata,90,"19,595",99 yrs lease commencing from 1970,2," Anson, Tanjong Pagar",16 to 20
SUNSHINE PLAZA,BENCOOLEN STREET,Office,"1,150,000",667.37,"1,723",Oct-24,Strata,62,"18,548",99 yrs lease commencing from 1997,7," Middle Road, Golden Mile",01 to 05
111 SOMERSET,SOMERSET ROAD,Office,"2,200,000",785.77,"2,800",Oct-24,Strata,73,"30,137",99 yrs lease commencing from 1975,9," Orchard, Cairnhill, River Valley",11 to 15
SOUTHBANK,NORTH BRIDGE ROAD,Office,"1,688,888","1,011.82","1,669",Oct-24,Strata,94,"17,967",99 yrs lease commencing from 2006,7," Middle Road, Golden Mile",16 to 20
INTERNATIONAL PLAZA,ANSON ROAD,Office,"3,500,000","2,357.32","1,485",Oct-24,Strata,219,"15,982",99 yrs lease commencing from 1970,2," Anson, Tanjong Pagar",11 to 15
SUNSHINE PLAZA,BENCOOLEN STREET,Office,"1,280,000",731.95,"1,749",Oct-24,Strata,68,"18,824",99 yrs lease commencing from 1997,7," Middle Road, Golden Mile",01 to 05
INTERNATIONAL PLAZA,ANSON ROAD,Office,"920,000",462.85,"1,988",Oct-24,Strata,43,"21,395",99 yrs lease commencing from 1970,2," Anson, Tanjong Pagar",21 to 25
SOUTHBANK,NORTH BRIDGE ROAD,Office,"950,000",602.78,"1,576",Oct-24,Strata,56,"16,964",99 yrs lease commencing from 2006,7," Middle Road, Golden Mile",01 to 05
TONG BUILDING,ORCHARD ROAD,Office,"33,500,000","6,867.43","4,878",Sep-24,Strata,638,"52,508",Freehold,9," Orchard, Cairnhill, River Valley",06 to 10
TONG BUILDING,ORCHARD ROAD,Office,"35,000,000","6,867.43","5,097",Sep-24,Strata,638,"54,859",Freehold,9," Orchard, Cairnhill, River Valley",06 to 10
SAMSUNG HUB,CHURCH STREET,Office,"14,800,000","3,595.18","4,117",Sep-24,Strata,334,"44,311",999 yrs lease commencing from 1827,1," Raffles Place, Cecil, Marina, People's Park",16 to 20
