Project Name,Street Name,Property Type,Transacted Price ($),Sale Date,Type of Area,Area (SQM),Unit Price ($ PSM),Postal District,District Name,Tenure Type,Lease Years,Floor Min,Floor Max,Floor Category,Transaction Year,Transaction Month
SUNSHINE PLAZA,BENCOOLEN STREET,Office,850000,2024-10-01,Strata,45.0,18889,7," Middle Road, Golden Mile",Leasehold,99.0,1,5,01-05,2024,10
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,2318000,2024-10-01,Strata,99.0,23414,14," Geylang, Eunos",Leasehold,99.0,1,5,01-05,2024,10
WOODS SQUARE,WOODLANDS SQUARE,Office,1230000,2024-10-01,Strata,52.0,23654,25," Kranji, Woodgrove",Leasehold,99.0,6,10,06-10,2024,10
SUNSHINE PLAZA,BENCOOLEN STREET,Office,1120000,2024-10-01,Strata,59.0,18983,7," Middle Road, Golden Mile",Leasehold,99.0,6,10,06-10,2024,10
INTERNATIONAL PLAZA,ANSON ROAD,Office,1763580,2024-10-01,Strata,90.0,19595,2," Anson, Tanjong Pagar",Leasehold,99.0,16,20,16-20,2024,10
SUNSHINE PLAZA,BENCOOLEN STREET,Office,1150000,2024-10-01,Strata,62.0,18548,7," Middle Road, Golden Mile",Leasehold,99.0,1,5,01-05,2024,10
111 SOMERSET,SOMERSET ROAD,Office,2200000,2024-10-01,Strata,73.0,30137,9," Orchard, Cairnhill, River Valley",Leasehold,99.0,11,15,11-15,2024,10
SOUTHBANK,NORTH BRIDGE ROAD,Office,1688888,2024-10-01,Strata,94.0,17967,7," Middle Road, Golden Mile",Leasehold,99.0,16,20,16-20,2024,10
INTERNATIONAL PLAZA,ANSON ROAD,Office,3500000,2024-10-01,Strata,219.0,15982,2," Anson, Tanjong Pagar",Leasehold,99.0,11,15,11-15,2024,10
SUNSHINE PLAZA,BENCOOLEN STREET,Office,1280000,2024-10-01,Strata,68.0,18824,7," Middle Road, Golden Mile",Leasehold,99.0,1,5,01-05,2024,10
INTERNATIONAL PLAZA,ANSON ROAD,Office,920000,2024-10-01,Strata,43.0,21395,2," Anson, Tanjong Pagar",Leasehold,99.0,21,25,21+,2024,10
SOUTHBANK,NORTH BRIDGE ROAD,Office,950000,2024-10-01,Strata,56.0,16964,7," Middle Road, Golden Mile",Leasehold,99.0,1,5,01-05,2024,10
TONG BUILDING,ORCHARD ROAD,Office,33500000,2024-09-01,Strata,638.0,52508,9," Orchard, Cairnhill, River Valley",Freehold,,6,10,06-10,2024,9
TONG BUILDING,ORCHARD ROAD,Office,35000000,2024-09-01,Strata,638.0,54859,9," Orchard, Cairnhill, River Valley",Freehold,,6,10,06-10,2024,9
SAMSUNG HUB,CHURCH STREET,Office,14800000,2024-09-01,Strata,334.0,44311,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,999.0,16,20,16-20,2024,9
WOODS SQUARE,WOODLANDS SQUARE,Office,1250000,2024-09-01,Strata,52.0,24038,25," Kranji, Woodgrove",Leasehold,99.0,11,15,11-15,2024,9
,ROBINSON ROAD,Office,17919925,2024-09-01,Strata,441.0,40635,1," Raffles Place, Cecil, Marina, People's Park",Freehold,,1,5,01-05,2024,9
WOODS SQUARE,WOODLANDS SQUARE,Office,1178845,2024-09-01,Strata,52.0,22670,25," Kranji, Woodgrove",Leasehold,99.0,11,15,11-15,2024,9
HIGH STREET PLAZA,HIGH STREET,Office,1750000,2024-09-01,Strata,73.0,23973,6," High Street, Beach Road (part)",Leasehold,999.0,1,5,01-05,2024,9
TEXTILE CENTRE,JALAN SULTAN,Office,1000000,2024-09-01,Strata,73.0,13699,7," Middle Road, Golden Mile",Leasehold,99.0,1,5,01-05,2024,9
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,2550000,2024-09-01,Strata,105.0,24286,14," Geylang, Eunos",Leasehold,99.0,6,10,06-10,2024,9
THE PLAZA,BEACH ROAD,Office,655000,2024-09-01,Strata,40.0,16375,7," Middle Road, Golden Mile",Leasehold,99.0,16,20,16-20,2024,9
,ROBINSON ROAD,Office,18556200,2024-09-01,Strata,442.0,41982,1," Raffles Place, Cecil, Marina, People's Park",Freehold,,6,10,06-10,2024,9
